0,10,2960,,,,,,,,,,,,[ 0.84157975  0.23950097  0.        ],,,,,,[ 0.82938666  0.19210605  0.        ],,
0,20,5920,,,,,,,,,,,,[ 0.95273108  0.4565736   0.19146567],,,,,,[ 0.93570003  0.31704937  0.13107143],,
0,30,8880,,,,,,,,,,,,[ 0.9631042   0.52718706  0.14246001],,,,,,[ 0.94738739  0.35891036  0.08394339],,
0,40,11840,,,,,,,,,,,,[ 0.96710209  0.56485986  0.30061526],,,,,,[ 0.94687766  0.34143075  0.19602923],,
0,50,14800,,,,,,,,,,,,[ 0.9716642   0.59046059  0.34512348],,,,,,[ 0.95080157  0.33577402  0.24447165],,
0,60,17760,,,,,,,,,,,,[ 0.97217128  0.60204902  0.35255742],,,,,,[ 0.95119218  0.33228395  0.23198923],,
0,70,20720,,,,,,,,,,,,[ 0.96974437  0.60697096  0.35964118],,,,,,[ 0.94617229  0.34079552  0.23632781],,
0,80,23680,,,,,,,,,,,,[ 0.97095367  0.61596036  0.37000015],,,,,,[ 0.94721554  0.33855013  0.22645649],,
0,90,26640,,,,,,,,,,,,[ 0.97715839  0.65351055  0.38913028],,,,,,[ 0.95585556  0.34446405  0.24369461],,
0,100,29600,,,,,,,,,,,,[ 0.97469699  0.64253544  0.40684966],,,,,,[ 0.95254988  0.35733498  0.25413282],,
